id_comentario,id_equipo_comentado,id_equipo_comentador,comentario,deportividad,fecha_creacion
1,11,15,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 12:30:24
2,16,10,Hubo varias faltas y protestas exageradas.,1,2024-05-02 12:40:16
3,1,18,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 12:47:09
4,20,6,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 12:53:54
5,12,18,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 13:01:42
6,7,11,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 13:06:07
7,6,1,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 13:13:38
8,20,15,Hubo varias faltas y protestas exageradas.,1,2024-05-02 13:18:03
9,4,15,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 13:20:05
10,17,16,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 13:27:17
11,20,18,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 13:33:13
12,7,21,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 13:35:08
13,3,9,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 13:43:22
14,5,7,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 13:49:48
15,17,1,Hubo varias faltas y protestas exageradas.,1,2024-05-02 13:58:24
16,6,20,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 14:04:06
17,2,13,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 14:07:16
18,19,4,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 14:09:34
19,16,10,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 14:13:51
20,11,15,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 14:18:06
21,20,18,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 14:21:55
22,9,16,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 14:27:58
23,4,7,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 14:31:26
24,15,12,Hubo varias faltas y protestas exageradas.,1,2024-05-02 14:37:26
25,18,6,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 14:45:57
26,14,8,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 14:53:32
27,5,2,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 15:00:57
28,19,4,Hubo varias faltas y protestas exageradas.,1,2024-05-02 15:04:31
29,2,19,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 15:08:44
30,5,8,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 15:16:22
31,4,11,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 15:24:37
32,1,18,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 15:30:56
33,7,1,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 15:40:34
34,20,6,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 15:49:33
35,13,10,Hubo varias faltas y protestas exageradas.,1,2024-05-02 15:52:11
36,12,18,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 15:58:43
37,3,9,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 16:03:52
38,3,7,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 16:08:26
39,17,3,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 16:12:49
40,7,11,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 16:14:03
41,8,3,Hubo varias faltas y protestas exageradas.,1,2024-05-02 16:19:00
42,10,16,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 16:27:43
43,16,5,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 16:36:22
44,6,1,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 16:43:16
45,3,2,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 16:51:13
46,21,9,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 16:55:53
47,9,8,Hubo varias faltas y protestas exageradas.,1,2024-05-02 17:00:17
48,17,18,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 17:07:52
49,16,20,Hubo varias faltas y protestas exageradas.,1,2024-05-02 17:14:35
50,20,15,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 17:20:48
51,1,4,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 17:24:32
52,4,15,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 17:31:22
53,9,5,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 17:40:18
54,13,16,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 17:43:42
55,20,16,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 17:47:39
56,17,16,Hubo varias faltas y protestas exageradas.,1,2024-05-02 17:55:57
57,8,6,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 18:04:26
58,21,2,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 18:06:31
59,2,12,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 18:12:13
60,12,11,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 18:17:43
61,1,12,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 18:26:33
62,11,19,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 18:35:46
63,16,1,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 18:37:53
64,7,16,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 18:39:11
65,15,2,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 18:47:22
66,9,9,Hubo varias faltas y protestas exageradas.,1,2024-05-02 18:55:30
67,5,11,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 19:00:07
68,6,5,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 19:07:06
69,10,10,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 19:15:59
70,18,17,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 19:24:59
71,8,4,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 19:29:01
72,2,18,Hubo varias faltas y protestas exageradas.,1,2024-05-02 19:35:18
73,17,8,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 19:42:37
74,3,3,Hubo varias faltas y protestas exageradas.,1,2024-05-02 19:44:57
75,14,14,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 19:50:48
76,13,20,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 19:52:15
77,12,6,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 19:57:05
78,20,7,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 20:05:06
79,4,13,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 20:06:48
80,19,15,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 20:13:23
81,5,9,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 20:15:22
82,7,11,Hubo varias faltas y protestas exageradas.,1,2024-05-02 20:21:00
83,18,5,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 20:22:43
84,17,10,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 20:31:46
85,20,17,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 20:32:54
86,11,4,Hubo varias faltas y protestas exageradas.,1,2024-05-02 20:40:06
87,6,18,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 20:49:59
88,10,8,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 20:51:41
89,2,3,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 20:58:08
90,15,14,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 21:00:29
91,12,20,Hubo varias faltas y protestas exageradas.,1,2024-05-02 21:02:23
92,14,6,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 21:09:13
93,8,7,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 21:16:13
94,4,13,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 21:26:05
95,1,15,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 21:32:21
96,3,12,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 21:39:19
97,19,19,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 21:45:03
98,13,1,Hubo varias faltas y protestas exageradas.,1,2024-05-02 21:54:08
99,9,16,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 21:55:16
100,16,2,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 22:03:06
